ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
590	144,155,156	0,0,1	187,161,175	4,9,1	154	149
591	644,654,653	5,0,15	388,500,613	3,3,3	298	149
592	112,103,174	0,1,0	134,188,164	7,1,3	202	149
593	450,521,567	36,45,38	414,513,486	44,57,52	202	149
594	325,270,320	0,1,1	286,290,330	0,2,0	249	149
595	694,636,674	0,1,1	634,678,722	0,0,0	249	149
597	2,4,2	0,1,0	4,21,9	3,0,0	152	149
598	0,0,0	0,0,3	6,3,7	0,0,7	152	149
600	1065,1162,1169	0,0,0	809,967,964	2,1,0	176	149
602	253,279,206	9,11,20	348,401,407	7,35,6	155	149
603	3,0,0	0,9,1	0,0,1	3,2,2	298	149
604	1233,1320,1500	3821,4264,4017	957,1307,1170	2846,3261,2912	152	149
605	16,8,14	56,54,33	8,17,4	38,30,17	152	149
606	44,66,101	0,0,0	72,80,75	2,1,0	298	149
607	248,308,288	2,0,1	355,346,288	5,11,5	298	149
608	2641,2971,2869	0,0,0	1881,2407,2073	2,3,1	298	149
610	93,111,87	711,627,633	57,75,94	707,923,930	298	149
612	5900,6142,5637	94,138,77	7393,7341,6674	161,137,134	272	149
613	17,6,6	3,14,1	20,13,5	6,9,12	209	149
615	193,229,177	0,1,8	235,256,331	1,0,4	151	149
616	1,0,0	0,6,0	0,0,3	0,0,2	236	149
619	46,50,36	82,85,78	12,12,19	55,50,76	193	149
621	5,8,17	3259,3584,3280	1,3,14	3400,4041,4107	209	149
622	3095,3206,3493	113,136,104	2730,3422,3699	129,121,171	179	149
623	4,5,9	1582,1562,1490	15,8,10	1249,1519,1739	231	149
624	8,12,12	0,2,0	1,9,7	0,0,4	152	149
625	791,849,742	1938,2026,1981	726,885,1056	1595,1970,2304	152	149
626	2969,2883,3077	53,47,62	3123,3253,3757	34,36,85	170	149
627	4,1,6	4549,4991,4876	4,4,6	4992,5507,6580	241	149
629	215,155,166	436,573,485	241,261,296	509,565,624	176	149
630	217,166,175	37,63,53	244,269,297	50,53,61	179	149
631	438,584,494	37,63,53	512,573,625	50,53,61	152	149
632	246,252,285	110,126,136	313,421,382	150,147,150	152	149
633	35,36,36	3,8,0	38,69,38	7,0,0	157	149
634	4,19,6	0,0,0	22,18,16	0,0,1	169	149
635	19,27,25	83,93,76	38,34,22	96,115,102	169	149
