"GeneID_clean","GeneSymbol","n_events","event_types","max_abs_dPSI"
"ENSMUSG00000040354","Mars1",2,"SE,RI",0.141
"ENSMUSG00000040415","Dtx3",1,"MXE",0.108
"ENSMUSG00000040451","Sgms1",2,"SE,MXE",0.675
"ENSMUSG00000040459","Arglu1",1,"RI",0.179
"ENSMUSG00000040481","Bptf",2,"SE",0.142
"ENSMUSG00000040687","Madd",5,"SE,A5SS,MXE",0.179
"ENSMUSG00000040785","Ttc3",2,"SE",0.123
"ENSMUSG00000040877","Wdr25",2,"SE",0.31
"ENSMUSG00000041147","Brca2",1,"SE",0.102
"ENSMUSG00000041377","Ninj2",1,"SE",0.121
"ENSMUSG00000041617","Ccdc74a",1,"MXE",0.322
"ENSMUSG00000041654","Slc39a11",2,"SE,A5SS",0.117
"ENSMUSG00000041740","Rnf10",2,"SE",0.642
"ENSMUSG00000041757","Plekha6",2,"SE",0.114
"ENSMUSG00000041809","Efhc1",1,"SE",0.613
"ENSMUSG00000041936","Agrn",2,"SE,RI",0.13
"ENSMUSG00000042035","Igsf3",1,"SE",0.111
"ENSMUSG00000042099","Kank3",1,"SE",0.117
"ENSMUSG00000042104","Uggt2",1,"SE",0.576
"ENSMUSG00000042138","Msantd2",3,"SE",0.234
"ENSMUSG00000042210","Abhd14a",1,"SE",0.272
"ENSMUSG00000042709","Atpaf2",1,"SE",0.132
"ENSMUSG00000043795","Prr33",1,"SE",0.105
"ENSMUSG00000043987","Cep164",2,"SE",0.287
"ENSMUSG00000044055","Otos",1,"SE",0.128
"ENSMUSG00000044229","Nxpe4",4,"SE,A5SS",0.211
"ENSMUSG00000044646","Zbtb7c",1,"SE",0.155
"ENSMUSG00000044712","Slc38a6",1,"SE",0.207
"ENSMUSG00000044937","Ttc41",1,"SE",0.552
"ENSMUSG00000045761","Togaram2",1,"SE",0.133
"ENSMUSG00000046169","Adamts6",1,"SE",0.258
"ENSMUSG00000046311","Zfp62",2,"SE",0.419
"ENSMUSG00000046337","Fam178b",1,"SE",0.128
"ENSMUSG00000046613","Vwa5b2",1,"SE",0.135
"ENSMUSG00000046709","Mapk10",1,"SE",0.578
"ENSMUSG00000046711","Hmga1",1,"SE",0.109
"ENSMUSG00000046753","Ccdc66",1,"SE",0.113
"ENSMUSG00000046774","8030474K03Rik",1,"A5SS",0.157
"ENSMUSG00000047022","Mipol1",1,"SE",0.103
"ENSMUSG00000047767","Atg16l2",3,"A5SS,RI",0.19
"ENSMUSG00000047909","Ankrd16",1,"A5SS",0.119
"ENSMUSG00000047986","Palm3",1,"RI",0.182
"ENSMUSG00000048029","Eno4",2,"SE",0.884
"ENSMUSG00000048677","Tpcn2",1,"SE",0.143
"ENSMUSG00000048899","Rimkla",1,"SE",0.154
"ENSMUSG00000048930","Tada3",1,"SE",0.192
"ENSMUSG00000049659","Aftph",2,"SE,A5SS",0.126
"ENSMUSG00000050908","Tvp23a",1,"SE",0.128
"ENSMUSG00000051113","Garin5a",2,"SE",0.335
"ENSMUSG00000051169","Rpusd3",1,"A3SS",0.123
"ENSMUSG00000052423","B4galt3",1,"SE",0.216
"ENSMUSG00000052525","Spdya",2,"SE",0.36
"ENSMUSG00000052752","Traf7",3,"SE,A5SS,MXE",0.351
"ENSMUSG00000053119","Chmp3",2,"SE",0.177
"ENSMUSG00000053332","Gas5",3,"A5SS,RI",0.194
"ENSMUSG00000053460","Ggcx",1,"SE",0.133
"ENSMUSG00000053768","Chchd3",1,"MXE",0.148
"ENSMUSG00000054387","Mdm4",1,"SE",0.29
"ENSMUSG00000054737","Zfp182",1,"A3SS",0.415
"ENSMUSG00000054770","Kctd18",1,"A5SS",0.136
"ENSMUSG00000054814","Usp46",1,"MXE",0.132
"ENSMUSG00000054894","Dmac2l",1,"SE",0.132
"ENSMUSG00000054966","Lmntd1",1,"SE",1
"ENSMUSG00000055013","Agap1",1,"SE",0.128
"ENSMUSG00000056260","Lrif1",1,"SE",0.243
"ENSMUSG00000056267","Cep70",1,"MXE",0.105
"ENSMUSG00000057229","Dmac2",1,"SE",0.153
"ENSMUSG00000057265","Bbof1",1,"SE",0.367
"ENSMUSG00000058240","Cryzl1",1,"SE",0.533
